track_popularity,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_occurences,duration_sec,genre_latin,genre_pop,genre_r&b,genre_rap,genre_rock,subgenre_big room,subgenre_classic rock,subgenre_dance pop,subgenre_electro house,subgenre_electropop,subgenre_gangster rap,subgenre_hard rock,subgenre_hip hop,subgenre_hip pop,subgenre_indie poptimism,subgenre_latin hip hop,subgenre_latin pop,subgenre_neo soul,subgenre_new jack swing,subgenre_permanent wave,subgenre_pop edm,subgenre_post-teen pop,subgenre_progressive electro house,subgenre_reggaeton,subgenre_southern hip hop,subgenre_trap,subgenre_tropical,subgenre_urban contemporary,days_since_release
89,0.64,0.648,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,4,197.867,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2499
89,0.732,0.463,-6.972,0,0.0287,0.374,0.0,0.194,0.397,95.971,1,212.607,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2366
89,0.351,0.296,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,1,200.186,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2934
89,0.729,0.726,-3.208,1,0.0422,0.223,0.0,0.101,0.876,92.025,4,217.13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2380
89,0.687,0.792,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,4,214.29,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2814
88,0.752,0.488,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,5,201.661,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2766
88,0.727,0.815,-2.454,1,0.153,0.0258,0.0,0.231,0.677,176.075,1,216.067,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2394
88,0.694,0.758,-2.986,1,0.218,0.278,1.34e-06,0.102,0.371,192.091,3,185.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2472
88,0.585,0.52,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,2,218.147,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2926
88,0.731,0.832,-2.592,1,0.0503,0.273,0.0,0.0665,0.94,146.013,3,178.613,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2457
88,0.787,0.673,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962,5,237.893,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2367
88,0.838,0.545,-6.713,1,0.0706,0.208,8.01e-05,0.103,0.631,114.998,7,220.59,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2303
88,0.831,0.502,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541,7,205.427,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2512
88,0.677,0.744,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,5,152.913,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2646
88,0.817,0.781,-4.178,0,0.112,0.00838,5.21e-06,0.123,0.359,104.0,1,216.707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2331
